Membership No  Date Joined  Active  
    87098      2017-1-9     no    
    75311      2017-10-13   yes   
    55548      2016-9-20    yes   
    92314      2018-8-14    yes   
    36356      2019-2-2     no    
    84937      2015-10-4    yes   
    71438      2019-12-11   no    
    68673      2017-4-15    no    
    80572      2019-11-19   no    
    71982      2016-8-16    no    
    27965      2015-11-19   yes   
    63124      2016-11-19   yes   
    90681      2015-12-20   no    
    44245      2015-9-10    yes   
    19860      2018-8-10    yes   
    15284      2020-5-5     yes   
    84749      2019-6-23    no    
    87879      2020-11-16   no    
    89545      2015-9-8     no    
    98135      2015-12-17   no    
