Membership No  Date Joined  Active  
    48745      2017-6-19    no    
    52040      2019-10-2    no    
    55551      2020-2-17    no    
    11691      2020-1-16    no    
    71259      2020-8-20    no    
    41946      2018-4-12    no    
    46113      2019-11-17   no    
    45381      2015-6-15    no    
    19268      2020-10-9    no    
    77968      2018-1-24    no    
    68898      2016-1-18    no    
    87145      2017-2-5     no    
    25894      2019-11-25   no    
    63154      2018-2-21    no    
